"flight_line_id","basin_id","channel_id","date","time","utc_time","CoordX","CoordY","longitude","latitude","channel_dist","water_surface_elevation_WGS84","water_surface_elevation_NAVD88","water_surface_elevation_uncertainty","water_area"
20210912030440,"ATCHA","WLO","2021-09-12","03:08:08",11288,652260,3268880,-91.42861419,29.54031906,23496.29,-26.12,0.44,0.07,0.635
20210912030440,"ATCHA","WLD_Camp","2021-09-12","03:08:08",11288,651560,3268700,-91.43586142,29.53877588,23973.04,-26.11,0.44,0.07,0.516
20210912030440,"ATCHA","WLO","2021-09-12","03:08:08",11288,651980,3268260,-91.43158953,29.53475454,24163.92,-26.1,0.45,0.07,0.927
20210912030440,"ATCHA","WLO","2021-09-12","03:08:08",11288,652110,3267690,-91.43032776,29.5295975,24694.91,-26.09,0.45,0.07,0.972
20210912030440,"ATCHA","WLO","2021-09-12","03:08:08",11288,651710,3267450,-91.43448747,29.52748181,25016.55,-26.08,0.45,0.07,0.994
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,651220,3267090,-91.4395922,29.52429471,25527.54,-26.07,0.45,0.07,0.89
20210912030440,"ATCHA","WLD_Greg","2021-09-12","03:08:08",11288,651860,3266970,-91.43300697,29.52313144,25447.49,-26.07,0.45,0.07,0.986
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,650690,3266960,-91.44507749,29.52318443,25962.3,-26.07,0.45,0.07,0.646
20210912030440,"ATCHA","WLD_Greg","2021-09-12","03:08:08",11288,651590,3266480,-91.4358601,29.51874676,25985.21,-26.06,0.46,0.07,0.987
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,651070,3266450,-91.44122809,29.51853667,26170.54,-26.06,0.45,0.07,0.77
20210912030440,"ATCHA","WLD_East","2021-09-12","03:08:08",11288,652130,3266330,-91.43031086,29.51732582,26057.95,-26.04,0.47,0.07,1.08
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,650570,3266420,-91.44638976,29.51832735,26444.49,-26.06,0.46,0.07,0.448
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,651010,3265740,-91.4419452,29.51213957,-9999,-26.04,0.47,0.07,1.873
20210912030440,"ATCHA","WLD_East","2021-09-12","03:08:08",11288,652500,3265890,-91.42655581,29.51331385,26570.62,-26.03,0.48,0.07,0.883
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,650670,3265900,-91.44542995,29.51362468,26837.23,-26.04,0.47,0.07,0.624
20210912030440,"ATCHA","WLD_Greg","2021-09-12","03:08:08",11288,651680,3265880,-91.43501506,29.51332152,26551.13,-26.03,0.47,0.07,1.393
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,650270,3265360,-91.44963003,29.50880131,27501.2,-26.02,0.47,0.07,0.689
20210912030440,"ATCHA","WLD_East","2021-09-12","03:08:08",11288,652810,3265270,-91.42344498,29.50768416,27262.19,-26.01,0.48,0.07,0.472
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,650770,3265320,-91.44447854,29.5083792,-9999,-26.02,0.47,0.07,1.498
20210912030440,"ATCHA","WLD_Greg","2021-09-12","03:08:08",11288,651610,3265300,-91.43581746,29.50810004,27133.72,-26.02,0.48,0.07,1.686
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,652210,3265270,-91.4296333,29.5077574,-9999,-26.01,0.48,0.07,1.448
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,651150,3264760,-91.44063667,29.50328082,-9999,-26.01,0.48,0.07,1.717
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,652600,3264510,-91.42571702,29.50084808,-9999,-26,0.48,0.07,0.476
20210912030440,"ATCHA","WLD_Main","2021-09-12","03:08:08",11288,650240,3264610,-91.45004257,29.50203868,28188.16,-26.01,0.47,0.07,0.971
20210912030440,"ATCHA","WLD_Greg","2021-09-12","03:08:08",11288,651580,3264710,-91.43620884,29.50277812,27720.1,-26,0.48,0.07,1.63
20210912030440,"ATCHA","N/A","2021-09-12","03:08:08",11288,650890,3264210,-91.44339411,29.49834853,-9999,-26,0.48,0.07,1.408
